customer_id;fisrt_name;second_name;gender;date_of_birth;city;state;occupation;customer_segment;annual_income;join_date
C00018;Christopher;Brown;Male;25/02/1960;Dallas;Texas;Self Employed;SME;335827,56;02/04/2022
C00019;Sophia;Gonzalez;Female;26/05/1984;Boston;Massachusetts;Self Employed;Corporate;499131,58;17/02/2020
C00020;Emma;Lopez;Female;19/01/1973;Houston;Texas;Retired;Corporate;532285,84;16/12/2023
C00021;Joshua;Martin;Male;03/09/1963;Columbus;Ohio;Retired;SME;1098065,19;01/09/2024
C00022;Harper;Johnson;Female;14/02/1999;Seattle;Washington;Self Employed;Premium;871361,57;23/12/2020
C00023;Chloe;Moore;Female;21/11/1968;Austin;Texas;Retired;Retail;219918,01;25/04/2024
C00024;Emma;Gonzalez;Female;07/09/1964;San Antonio;Texas;Business Owner;Retail;259700,97;09/10/2019
C00025;Sophia;Moore;Female;10/12/1994;Jacksonville;Florida;Salaried;Premium;453810,08;15/03/2019
C00026;Evelyn;Martin;Female;10/05/1969;Charlotte;North Carolina;Business Owner;Premium;1030550,11;28/07/2018
C00027;Ella;Jackson;Female;27/07/2000;San Jose;California;Retired;Retail;527176,23;09/02/2018
C00028;Joseph;Williams;Male;05/12/1964;Fort Worth;Texas;Salaried;Retail;942408,66;16/06/2021
C00029;John;Davis;Male;07/06/1962;San Antonio;Texas;Self Employed;Premium;1016104,21;28/10/2019
C00030;Evelyn;Williams;Female;06/01/1986;Dallas;Texas;Salaried;Corporate;1451862,1;12/04/2023
C00031;Amelia;Brown;Female;12/08/1972;Dallas;Texas;Business Owner;Retail;634620,81;15/02/2021
C00032;Ryan;Rodriguez;Male;21/06/1977;San Jose;California;Business Owner;Retail;1307245,08;02/01/2020
C00033;Anthony;Lopez;Male;04/01/1976;San Antonio;Texas;Student;Premium;402740,14;19/06/2024
C00034;Mia;Lopez;Female;23/01/1976;Philadelphia;Pennsylvania;Student;Retail;487546,33;14/10/2018
C00035;Ella;Miller;Female;22/06/1999;Los Angeles;California;Student;SME;833024,78;26/10/2025
C00036;Matthew;Williams;Male;07/03/1995;Phoenix;Arizona;Business Owner;Retail;1188852,78;21/03/2021
C00037;Natalie;Garcia;Female;20/10/1987;San Diego;California;Freelancer;Premium;750554,17;27/11/2019
C00038;Zoe;Davis;Female;22/09/1978;Jacksonville;Florida;Self Employed;Premium;338189,81;26/03/2020
C00039;William;Anderson;Male;08/01/1961;Fort Worth;Texas;Freelancer;Wealth;2088837,6;23/10/2025
C00040;Scarlett;Rodriguez;Female;08/07/1991;Denver;Colorado;Salaried;Retail;619269,81;02/04/2024
C00041;Zoe;Davis;Female;05/08/1967;New York;New York;Retired;SME;3757116,78;01/01/2023
C00042;Abigail;Johnson;Female;09/08/1990;Philadelphia;Pennsylvania;Freelancer;Corporate;1516903,12;06/09/2020
C00043;Daniel;Johnson;Male;23/02/1988;Charlotte;North Carolina;Self Employed;Retail;322344,59;05/08/2020
C00044;Christopher;Gonzalez;Male;23/03/2004;Dallas;Texas;Self Employed;Retail;392367,1;17/09/2022
C00045;Harper;Williams;Female;01/12/1997;Charlotte;North Carolina;Student;SME;928116,94;13/09/2022
C00046;Charlotte;Jackson;Female;08/10/1994;Indianapolis;Indiana;Freelancer;Retail;291697,23;08/11/2019
C00047;Abigail;Miller;Female;18/10/1968;Nashville;Tennessee;Self Employed;Retail;351668,64;07/03/2023
C00048;Lily;Gonzalez;Female;13/05/1963;Philadelphia;Pennsylvania;Student;Retail;414771,15;30/10/2020
C00049;Anthony;Jones;Male;24/01/1990;Austin;Texas;Self Employed;Retail;845404,41;27/03/2020
C00050;Harper;Jones;Female;08/03/1999;San Diego;California;Business Owner;Retail;638385,4;19/11/2019
C00051;Daniel;Moore;Male;23/12/1998;San Antonio;Texas;Salaried;Retail;255276,49;22/08/2024
C00052;Benjamin;Rodriguez;Male;25/12/1966;Indianapolis;Indiana;Business Owner;Retail;1081639,83;23/12/2023
C00053;Lucas;Wilson;Male;03/06/2002;Seattle;Washington;Student;Retail;180000;23/01/2022
C00054;Victoria;Gonzalez;Female;06/07/1969;Denver;Colorado;Student;Corporate;1776507,33;20/11/2022
C00055;Ella;Davis;Female;28/06/1977;Seattle;Washington;Retired;Retail;781299,24;04/11/2024
C00056;Ava;Taylor;Female;16/01/1981;Los Angeles;California;Business Owner;SME;423138,04;07/09/2024
C00057;Lily;Williams;Female;17/01/1995;Houston;Texas;Student;SME;592382,48;12/03/2018
C00058;Olivia;Brown;Female;13/04/1978;Fort Worth;Texas;Student;Premium;514425,13;04/03/2024
C00059;Robert;Garcia;Male;15/12/1982;Phoenix;Arizona;Freelancer;Retail;338830,41;04/01/2024
C00060;Grace;Martin;Female;24/04/1972;Boston;Massachusetts;Self Employed;Retail;456991,91;18/01/2022
C00061;Michael;Gonzalez;Male;23/01/1979;Nashville;Tennessee;Salaried;Retail;522504,42;09/06/2024
C00062;Ryan;Martin;Male;15/08/1990;Columbus;Ohio;Salaried;Retail;796165,73;30/06/2022
C00063;Anthony;Taylor;Male;21/10/1964;Chicago;Illinois;Retired;Premium;465170,56;08/04/2022
C00064;Matthew;Moore;Male;28/05/1988;San Diego;California;Self Employed;Premium;681543,65;06/01/2025
C00065;Emily;Brown;Female;03/11/1976;Indianapolis;Indiana;Freelancer;Retail;501264,92;03/02/2023
C00066;Zoe;Rodriguez;Female;09/04/2003;Jacksonville;Florida;Salaried;Corporate;1378794,23;09/02/2024
C00067;Abigail;Brown;Female;09/03/2001;Columbus;Ohio;Salaried;SME;300554,04;04/04/2023
C00068;Evelyn;Wilson;Female;09/07/2004;Chicago;Illinois;Retired;Retail;439605,67;22/10/2020
C00069;William;Anderson;Male;22/04/1965;Columbus;Ohio;Self Employed;SME;2618761,78;12/04/2023
C00070;Emily;Rodriguez;Female;09/08/2001;San Antonio;Texas;Business Owner;Retail;551529,51;31/07/2022
C00071;Charles;Garcia;Male;04/11/1980;Chicago;Illinois;Student;SME;366677,08;27/12/2018
C00072;Hannah;Brown;Female;04/06/1976;Charlotte;North Carolina;Student;Wealth;1101678,3;11/08/2018
C00073;Andrew;Taylor;Male;20/06/1993;Phoenix;Arizona;Business Owner;Corporate;1593545,69;30/11/2022
C00074;Natalie;Miller;Female;21/01/1967;San Diego;California;Salaried;Premium;594522,4;09/07/2020
C00075;Ava;Lopez;Female;21/02/1989;Boston;Massachusetts;Student;SME;616037,83;19/04/2023
C00076;William;Moore;Male;05/09/1989;San Jose;California;Business Owner;Retail;993948,03;27/08/2022
C00077;Charles;Smith;Male;27/05/1992;Denver;Colorado;Student;Retail;1643515,92;16/01/2024
C00078;Henry;Hernandez;Male;18/06/1982;San Jose;California;Retired;Corporate;396000;18/04/2022
C00079;Lily;Smith;Female;11/01/1986;Jacksonville;Florida;Salaried;Corporate;2717527,82;02/06/2019
C00080;David;Lopez;Male;28/06/1997;Los Angeles;California;Business Owner;Retail;635020,89;25/07/2025
C00081;Evelyn;Davis;Female;21/06/1984;San Jose;California;Salaried;Premium;3809124,23;08/02/2025
C00082;Olivia;Davis;Female;23/03/1988;Jacksonville;Florida;Business Owner;Retail;229155,08;31/10/2022
C00083;Victoria;Williams;Female;14/09/1975;Nashville;Tennessee;Retired;Premium;1110493,35;30/08/2025
C00084;Sophia;Thomas;Female;05/10/1991;Columbus;Ohio;Business Owner;Retail;562850,21;07/08/2025
C00085;Michael;Moore;Male;15/02/1970;Seattle;Washington;Self Employed;SME;584267,21;12/04/2022
C00086;Ava;Jones;Female;10/10/1982;Columbus;Ohio;Business Owner;Wealth;1630489,11;31/07/2020
C00087;Thomas;Moore;Male;21/04/1982;Chicago;Illinois;Freelancer;Retail;180000;01/04/2025
C00088;Mia;Rodriguez;Female;02/08/1979;San Diego;California;Self Employed;Premium;1013323,36;02/04/2020
C00089;Hannah;Martin;Female;17/06/1994;Columbus;Ohio;Freelancer;Retail;342182,23;19/10/2021
C00090;Grace;Miller;Female;05/02/1989;Boston;Massachusetts;Salaried;Corporate;437400,24;05/06/2022
C00091;Zoe;Miller;Female;04/09/1976;Charlotte;North Carolina;Salaried;Retail;727728,54;27/07/2025
C00092;Evelyn;Gonzalez;Female;20/01/1990;Seattle;Washington;Freelancer;SME;1227121,46;22/05/2021
C00093;Joshua;Anderson;Male;02/03/1967;Austin;Texas;Student;SME;430481,21;02/02/2023
C00094;Charles;Anderson;Male;23/12/2002;San Antonio;Texas;Student;SME;460652,53;26/11/2024
C00095;David;Davis;Male;23/01/1977;Charlotte;North Carolina;Freelancer;Retail;180000;13/02/2022
C00096;Daniel;Williams;Male;02/06/2001;Philadelphia;Pennsylvania;Freelancer;Retail;316979,69;18/05/2020
C00097;Abigail;Smith;Female;26/01/1961;Columbus;Ohio;Self Employed;Retail;500647,96;07/09/2024
C00098;Lucas;Moore;Male;05/03/1977;San Antonio;Texas;Salaried;Retail;607098;07/01/2022
C00099;Amelia;Jackson;Female;01/06/1997;San Jose;California;Retired;Retail;487367,16;28/08/2024
C00100;Daniel;Smith;Male;08/09/1988;Phoenix;Arizona;Student;SME;1277017,04;04/07/2022
C00101;Michael;Johnson;Male;16/02/2003;Philadelphia;Pennsylvania;Salaried;Premium;469371,89;01/06/2019
C00102;Daniel;Williams;Male;19/11/1999;Indianapolis;Indiana;Freelancer;Retail;466390,07;14/04/2019
C00103;John;Hernandez;Male;15/07/1973;Austin;Texas;Business Owner;SME;386648,18;15/10/2022
C00104;Michael;Taylor;Male;12/05/2002;Houston;Texas;Student;Wealth;1855942,38;31/01/2019
C00105;Amelia;Rodriguez;Female;02/09/1968;Jacksonville;Florida;Freelancer;Premium;868455,05;29/09/2022
C00106;Thomas;Miller;Male;10/10/1978;Columbus;Ohio;Salaried;Retail;485719,27;05/12/2021
C00107;Benjamin;Jones;Male;25/02/1983;Boston;Massachusetts;Retired;Retail;281364,61;18/05/2025
C00108;Lucas;Jackson;Male;09/03/1961;San Antonio;Texas;Retired;Premium;606089,21;16/05/2025
C00109;Lily;Davis;Female;24/03/1964;Dallas;Texas;Business Owner;Premium;501069,69;03/02/2026
C00110;Lily;Wilson;Female;03/10/1996;San Antonio;Texas;Business Owner;SME;564267,52;01/06/2020
C00111;Joseph;Brown;Male;14/06/1967;Los Angeles;California;Self Employed;Retail;668836,85;07/06/2022
C00112;Emma;Wilson;Female;07/01/1963;Indianapolis;Indiana;Salaried;Retail;322609,76;01/02/2018
C00113;Joshua;Wilson;Male;05/03/1987;Fort Worth;Texas;Student;Retail;649881,84;23/06/2018
C00114;Grace;Anderson;Female;03/08/1961;Boston;Massachusetts;Salaried;SME;732364,64;18/07/2022
C00115;Olivia;Brown;Female;26/03/1980;Nashville;Tennessee;Salaried;SME;548626,2;23/09/2020
C00116;John;Gonzalez;Male;17/07/1997;Charlotte;North Carolina;Retired;Retail;180000;20/09/2023
C00117;Abigail;Brown;Female;24/06/1982;San Antonio;Texas;Self Employed;Wealth;1559106,21;12/12/2019
C00118;Amelia;Miller;Female;03/11/1969;Houston;Texas;Freelancer;Retail;735936,15;01/05/2024
C00119;Joseph;Moore;Male;11/11/1980;New York;New York;Business Owner;Retail;213145,21;10/09/2023
C00120;Chloe;Jones;Female;15/08/1979;San Diego;California;Student;Retail;371861,46;05/07/2024
C00121;Nicholas;Garcia;Male;26/08/1962;Nashville;Tennessee;Student;Premium;378159,1;28/02/2019
C00122;Matthew;Anderson;Male;21/09/1965;Indianapolis;Indiana;Business Owner;Retail;289719,85;08/03/2022
C00123;Daniel;Williams;Male;25/07/1984;Austin;Texas;Business Owner;Retail;685698,19;23/01/2019
C00124;Anthony;Moore;Male;10/07/2003;Indianapolis;Indiana;Business Owner;Retail;495861,96;24/06/2021
C00125;David;Johnson;Male;23/10/1968;Nashville;Tennessee;Freelancer;SME;464274,06;18/11/2025
C00126;Zoe;Smith;Female;22/11/1965;San Diego;California;Student;Retail;360578,7;26/02/2020
C00127;Michael;Davis;Male;03/03/1968;Chicago;Illinois;Freelancer;Retail;768502,02;11/10/2021
C00128;Mia;Wilson;Female;13/10/1968;Houston;Texas;Salaried;Retail;180000;10/08/2022
C00129;Thomas;Thomas;Male;08/12/2003;Nashville;Tennessee;Retired;Wealth;2022910,98;06/09/2020
C00130;Charlotte;Gonzalez;Female;12/04/1990;Jacksonville;Florida;Retired;Premium;896777,03;01/12/2023
C00131;John;Garcia;Male;26/04/1970;Seattle;Washington;Business Owner;Premium;773485,02;10/12/2018
C00132;Scarlett;Smith;Female;17/08/1977;San Jose;California;Salaried;Retail;180000;27/08/2022
C00133;Ryan;Rodriguez;Male;12/09/1985;Nashville;Tennessee;Freelancer;Retail;933282,33;16/04/2025
C00134;Chloe;Martinez;Female;02/03/1969;Austin;Texas;Retired;Retail;1231495,99;22/01/2018
C00135;Nicholas;Moore;Male;07/05/1961;San Diego;California;Business Owner;SME;733288,32;31/08/2020
C00136;Thomas;Jones;Male;08/01/1967;Columbus;Ohio;Freelancer;Retail;737335,78;12/10/2023
C00137;Charlotte;Martinez;Female;05/12/1975;Fort Worth;Texas;Salaried;Retail;480240,16;25/11/2023
C00138;Charlotte;Johnson;Female;18/09/1992;Los Angeles;California;Salaried;Retail;373133,43;13/11/2021
C00139;Victoria;Moore;Female;04/11/2002;Austin;Texas;Freelancer;Corporate;1357171,97;19/12/2019
C00140;Olivia;Hernandez;Female;21/08/2004;Fort Worth;Texas;Self Employed;Retail;180000;29/06/2018
C00141;Olivia;Johnson;Female;10/06/1962;Columbus;Ohio;Salaried;Retail;180000;09/05/2025
C00142;Victoria;Thomas;Female;26/02/1977;Philadelphia;Pennsylvania;Business Owner;Retail;811858,3;28/10/2023
C00143;Hannah;Taylor;Female;14/12/1965;San Diego;California;Salaried;Retail;762323,65;24/11/2018
C00144;Mia;Johnson;Female;10/05/2002;Jacksonville;Florida;Salaried;Retail;566052,43;25/02/2026
C00145;Charles;Williams;Male;09/07/1999;Houston;Texas;Self Employed;Premium;1045285,15;24/10/2024
C00146;William;Williams;Male;03/03/1962;Fort Worth;Texas;Freelancer;Retail;548384,81;17/01/2023
C00147;Henry;Williams;Male;25/08/1983;Columbus;Ohio;Salaried;Retail;257814,72;17/04/2018
C00148;Amelia;Gonzalez;Female;13/09/1991;Indianapolis;Indiana;Self Employed;SME;791419,8;18/05/2019
C00149;Emma;Jackson;Female;06/08/1964;New York;New York;Freelancer;SME;585193,71;23/09/2018
C00150;Daniel;Jackson;Male;10/05/1994;San Diego;California;Self Employed;SME;1162694,16;23/07/2019
C00151;Henry;Johnson;Male;12/01/1991;San Diego;California;Salaried;Premium;424138,27;20/06/2021
C00152;Henry;Williams;Male;14/09/1990;San Jose;California;Self Employed;Corporate;839787,15;08/11/2022
C00153;Grace;Jackson;Female;17/02/1963;San Diego;California;Retired;Retail;277302,43;09/03/2021
C00154;Lucas;Taylor;Male;21/04/1976;Denver;Colorado;Retired;Wealth;752437,35;10/03/2025
C00155;Christopher;Rodriguez;Male;05/10/1997;Dallas;Texas;Salaried;Retail;1466650,54;29/11/2018
C00156;Charlotte;Hernandez;Female;09/10/2001;San Antonio;Texas;Freelancer;Premium;1226325,78;13/02/2024
C00157;Daniel;Rodriguez;Male;16/05/2001;San Antonio;Texas;Self Employed;Retail;720921,53;06/12/2022
C00158;Ryan;Jones;Male;07/08/1990;San Jose;California;Business Owner;Retail;347095,02;17/09/2020
C00159;Evelyn;Anderson;Female;15/05/1967;Austin;Texas;Self Employed;Retail;258856,95;17/10/2019
C00160;Christopher;Williams;Male;11/12/1996;New York;New York;Student;Retail;341487,8;02/09/2023
C00161;Emily;Anderson;Female;19/04/1975;Boston;Massachusetts;Retired;Retail;191072,29;03/02/2018
C00162;Henry;Jackson;Male;09/03/1987;San Jose;California;Business Owner;Premium;1179296,28;16/03/2024
C00163;David;Williams;Male;17/07/1964;Fort Worth;Texas;Self Employed;Retail;579135,34;01/02/2019
C00164;Benjamin;Miller;Male;18/06/1983;Austin;Texas;Salaried;SME;836373,79;09/06/2018
C00165;Hannah;Rodriguez;Female;17/08/1981;Austin;Texas;Self Employed;Retail;544127,93;29/05/2022
C00166;Ava;Lopez;Female;11/10/1979;Nashville;Tennessee;Salaried;Retail;450433,82;17/02/2022
C00167;Sophia;Davis;Female;14/02/2003;San Antonio;Texas;Business Owner;Premium;2207057,45;09/05/2025
C00168;Ella;Martinez;Female;24/04/1996;Nashville;Tennessee;Self Employed;Retail;425587,62;20/08/2025
C00169;William;Anderson;Male;23/10/1962;Dallas;Texas;Student;Retail;228349,31;18/08/2023
C00170;Zoe;Martinez;Female;24/12/1990;Dallas;Texas;Business Owner;Retail;287561,41;11/12/2019
C00171;Natalie;Taylor;Female;18/06/1994;Phoenix;Arizona;Self Employed;Retail;1109681,98;06/10/2020
C00172;Emily;Moore;Female;08/05/1995;Columbus;Ohio;Business Owner;SME;1156151,99;14/04/2024
C00173;Evelyn;Brown;Female;19/02/1978;Columbus;Ohio;Student;Premium;1194045,91;10/05/2025
C00174;Robert;Rodriguez;Male;07/04/1990;Philadelphia;Pennsylvania;Retired;SME;378293,52;31/07/2024
C00175;Emma;Brown;Female;22/01/1975;New York;New York;Freelancer;SME;442003,76;19/04/2023
C00176;Benjamin;Jones;Male;01/03/2003;San Jose;California;Business Owner;Wealth;4445063,43;08/08/2021
C00177;Matthew;Martinez;Male;25/01/2001;Seattle;Washington;Student;Retail;514255,07;22/12/2019
C00178;Natalie;Miller;Female;06/08/1985;Seattle;Washington;Freelancer;SME;665507,15;04/02/2024
C00179;Abigail;Miller;Female;28/03/1991;San Antonio;Texas;Freelancer;Retail;180000;19/11/2020
C00180;Harper;Taylor;Female;11/12/1960;Dallas;Texas;Student;Corporate;1266731,38;12/10/2023
C00181;Thomas;Rodriguez;Male;22/07/1965;Nashville;Tennessee;Business Owner;Retail;1055747,62;21/04/2022
C00182;Olivia;Williams;Female;11/05/1988;Philadelphia;Pennsylvania;Business Owner;Retail;709260,34;17/10/2019
C00183;Nicholas;Rodriguez;Male;23/09/2003;Denver;Colorado;Self Employed;Corporate;1599847,81;02/07/2019
C00184;John;Smith;Male;24/08/1969;Seattle;Washington;Self Employed;Wealth;889626,93;18/08/2025
C00185;Christopher;Jones;Male;15/09/1965;Phoenix;Arizona;Retired;Retail;180000;08/01/2024
C00186;Matthew;Garcia;Male;28/06/1970;Nashville;Tennessee;Retired;Retail;280493,82;30/12/2022
C00187;Anthony;Moore;Male;17/03/1989;Chicago;Illinois;Student;Retail;507208,85;08/11/2020
C00188;Grace;Moore;Female;03/10/1973;Columbus;Ohio;Salaried;Retail;378252,26;21/03/2021
C00189;Emily;Brown;Female;25/03/1971;New York;New York;Salaried;Premium;324000;28/08/2025
C00190;Michael;Jones;Male;28/11/1968;Los Angeles;California;Salaried;Retail;229670,41;04/04/2018
C00191;Zoe;Johnson;Female;24/11/1989;Houston;Texas;Self Employed;Retail;524697,4;03/02/2021
C00192;Joshua;Jackson;Male;26/01/1967;San Jose;California;Self Employed;Premium;4361823,49;03/10/2018
C00193;Zoe;Jones;Female;15/01/1998;New York;New York;Student;Premium;974236,84;17/08/2020
C00194;Grace;Jones;Female;05/01/1973;Phoenix;Arizona;Retired;Retail;180000;15/09/2024
C00195;John;Martinez;Male;05/05/1975;San Diego;California;Freelancer;Wealth;1373405,16;12/08/2025
C00196;Joshua;Johnson;Male;02/08/1995;Fort Worth;Texas;Business Owner;Wealth;1971778,35;22/03/2022
C00197;Joshua;Miller;Male;08/08/1994;Denver;Colorado;Retired;SME;325632,01;18/08/2022
C00198;Amelia;Brown;Female;05/09/1995;San Jose;California;Salaried;Retail;313273,68;03/01/2024
C00199;Joshua;Moore;Male;13/05/1963;Philadelphia;Pennsylvania;Student;Premium;1717181,78;05/05/2020
C00200;Nicholas;Martin;Male;07/01/1979;San Antonio;Texas;Retired;SME;335216,64;10/08/2021
C00201;Ava;Davis;Female;18/08/1984;Dallas;Texas;Salaried;Premium;600491,57;07/02/2026
C00202;Mia;Garcia;Female;12/04/1980;Indianapolis;Indiana;Self Employed;Retail;499282,13;14/03/2020
C00203;Grace;Smith;Female;19/07/1974;Seattle;Washington;Student;SME;618197,97;11/02/2026
C00204;William;Hernandez;Male;24/03/1989;Fort Worth;Texas;Retired;Corporate;396000;19/05/2018
C00205;Nicholas;Davis;Male;25/01/2002;San Diego;California;Self Employed;Retail;180000;03/09/2023
C00206;Harper;Garcia;Female;20/01/1983;San Antonio;Texas;Retired;Premium;838540,93;20/03/2021
C00207;Emma;Gonzalez;Female;22/12/1992;Nashville;Tennessee;Business Owner;Retail;1013924,89;30/12/2020
C00208;John;Thomas;Male;13/06/1965;Denver;Colorado;Salaried;Retail;198734,83;19/07/2022
C00209;Daniel;Miller;Male;16/09/1984;Seattle;Washington;Retired;Retail;442308,98;24/06/2018
C00210;Anthony;Lopez;Male;19/12/1973;New York;New York;Self Employed;Retail;470693,68;01/08/2024
C00211;Andrew;Davis;Male;10/02/1985;Los Angeles;California;Freelancer;Retail;180000;14/02/2026
C00212;Amelia;Smith;Female;12/12/1992;Seattle;Washington;Business Owner;Retail;306217,02;02/05/2018
C00213;Charlotte;Gonzalez;Female;08/08/1988;Los Angeles;California;Salaried;Retail;920446,18;08/12/2024
C00214;Abigail;Rodriguez;Female;03/12/1975;Fort Worth;Texas;Business Owner;Retail;180000;17/01/2022
C00215;Sophia;Rodriguez;Female;10/01/1965;Seattle;Washington;Student;Retail;582259,17;31/03/2024
C00216;Ella;Taylor;Female;04/07/1992;Chicago;Illinois;Salaried;Retail;380034,82;10/04/2021
C00217;Ryan;Moore;Male;24/02/1984;Denver;Colorado;Business Owner;SME;672149,09;18/05/2021
C00218;Abigail;Smith;Female;03/03/1991;Los Angeles;California;Business Owner;Retail;327133,15;07/10/2020
C00219;Emma;Rodriguez;Female;07/10/1998;Phoenix;Arizona;Business Owner;Retail;237664,8;30/10/2022
C00220;Mia;Jackson;Female;11/05/1968;Jacksonville;Florida;Business Owner;Premium;1134237,42;17/10/2025
C00221;Matthew;Johnson;Male;11/04/1996;Fort Worth;Texas;Retired;Retail;723544,01;13/02/2024
C00222;David;Martin;Male;01/09/2003;San Jose;California;Student;Wealth;1172262,27;19/07/2025
C00223;Nicholas;Lopez;Male;10/11/1968;Philadelphia;Pennsylvania;Student;Retail;748417,61;15/09/2024
C00224;Christopher;Wilson;Male;18/07/1997;San Jose;California;Salaried;Retail;538625,36;13/10/2020
C00225;Henry;Taylor;Male;20/11/1970;San Jose;California;Salaried;Retail;301652,67;08/02/2019
C00226;Emma;Gonzalez;Female;24/09/1974;Philadelphia;Pennsylvania;Student;Retail;529060,1;15/08/2025
C00227;Victoria;Miller;Female;05/09/2004;Indianapolis;Indiana;Business Owner;Retail;270671,92;05/05/2023
C00228;Matthew;Johnson;Male;23/12/1988;Indianapolis;Indiana;Retired;Retail;374653,52;16/12/2019
C00229;Nicholas;Smith;Male;18/06/1970;Chicago;Illinois;Freelancer;Retail;370633,62;16/05/2025
C00230;Charles;Moore;Male;24/01/1985;Houston;Texas;Self Employed;Premium;395327,9;14/02/2021
C00231;Charlotte;Lopez;Female;26/02/1996;Chicago;Illinois;Freelancer;SME;399613,68;28/06/2023
C00232;Nicholas;Williams;Male;20/06/2000;Chicago;Illinois;Freelancer;Retail;394563,52;01/12/2025
C00233;Abigail;Martin;Female;03/10/1999;Indianapolis;Indiana;Freelancer;Premium;631776,8;03/08/2019
C00234;Christopher;Brown;Male;20/07/1984;Los Angeles;California;Retired;Retail;386638,06;15/11/2019
C00235;Evelyn;Taylor;Female;06/03/1978;Charlotte;North Carolina;Self Employed;Retail;421320,22;10/03/2020
C00236;Evelyn;Wilson;Female;21/09/1995;Chicago;Illinois;Self Employed;Retail;596131,57;05/12/2018
C00237;Abigail;Gonzalez;Female;10/04/1961;Dallas;Texas;Retired;Retail;307127,95;24/09/2023
C00238;Evelyn;Moore;Female;09/02/1996;San Antonio;Texas;Retired;Corporate;1575735,39;14/06/2020
C00239;Ava;Miller;Female;27/12/1966;Dallas;Texas;Salaried;Premium;437607,32;28/08/2020
C00240;Nicholas;Gonzalez;Male;12/12/1997;Houston;Texas;Self Employed;SME;742967,27;01/09/2018
C00241;William;Martin;Male;09/09/1982;Los Angeles;California;Self Employed;Premium;503760,35;13/08/2022
C00242;Victoria;Martinez;Female;05/11/1977;Jacksonville;Florida;Student;Premium;530645,85;06/08/2019
C00243;Scarlett;Moore;Female;21/05/2000;Dallas;Texas;Retired;Retail;390960,35;13/02/2021
C00244;Emily;Martinez;Female;11/08/1989;Austin;Texas;Self Employed;Premium;1212360,93;26/10/2022
C00245;Evelyn;Miller;Female;11/05/1991;San Antonio;Texas;Freelancer;SME;430959,62;18/07/2018
C00246;Nicholas;Jackson;Male;26/11/1966;Fort Worth;Texas;Freelancer;SME;342044,64;21/05/2021
C00247;Henry;Hernandez;Male;21/02/1977;Phoenix;Arizona;Student;Retail;513075,06;08/05/2025
C00248;Anthony;Anderson;Male;07/01/1966;Austin;Texas;Salaried;Retail;282697,96;20/10/2025
C00249;Anthony;Miller;Male;23/07/1967;New York;New York;Business Owner;Retail;229491,13;14/02/2022
C00250;Charles;Thomas;Male;25/07/1968;Boston;Massachusetts;Retired;SME;1659995,39;26/04/2024
C00251;Mia;Williams;Female;06/11/1999;Jacksonville;Florida;Self Employed;Retail;777856,77;22/12/2018
C00252;Andrew;Taylor;Male;19/02/1968;Los Angeles;California;Business Owner;Corporate;761436,87;25/03/2025
C00253;Natalie;Hernandez;Female;20/09/1975;Seattle;Washington;Self Employed;Premium;1260580,61;22/10/2023
C00254;Sophia;Davis;Female;24/04/1992;Jacksonville;Florida;Student;Retail;837284,34;07/04/2019
C00255;Evelyn;Davis;Female;20/11/1991;Chicago;Illinois;Business Owner;Retail;365221,81;16/02/2024
C00256;Charlotte;Jones;Female;01/02/1990;Denver;Colorado;Student;Premium;695836,51;14/11/2025
